(314502219, [2.0, 0.59, 0.0, 0.51, 0.0, 0.64, 0.0, 2.62, 0.0, 0.0], [0.0, 0.57, 0.0, 0.06, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314602655, [2.0, 0.59, 0.0, 0.51, 0.0, 0.64, 0.0, 2.58, 0.0, 0.0], [0.0, 0.57, 0.0, 0.04, 175.45, 175.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314702345, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, 0.55, 0.0, 0.05, 175.45, 175.49, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314802191, [2.0, 0.59, 0.0, 0.51, 0.0, 0.68, 0.0, 2.57, 0.0, 0.0], [0.0, 0.57, 0.0, 0.07, 175.45, 175.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314902627, [2.0, 0.59, 0.0, 0.51, 0.0, 0.66, 0.0, 2.57, 0.0, 0.0], [0.0, 0.55, 0.0, 0.07, 175.45, 175.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315002225, [2.0, 0.59, 0.0, 0.51, 0.0, 0.66, 0.0, 2.59, 0.0, 0.0], [0.0, 0.56, 0.0, 0.0, 175.45, 175.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315102424, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [-0.82, 0.51, 0.02, -0.79, 175.45, 175.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315202273, [2.0, 0.58, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [-1.55, 0.37, 0.98, -0.42, 175.45, 175.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315302462, [2.0, 0.59, 0.0, 0.5, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [-2.0, 0.5, 1.3, -0.53, 175.45, 175.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315402782, [2.0, 0.58, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [-2.06, 0.45, 1.61, -0.82, 175.45, 175.23, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315502461, [2.0, 0.58, 0.0, 0.51, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [-2.2, -0.11, 1.69, -1.14, 175.45, 175.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315602625, [2.0, 0.58, 0.0, 0.5, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [-2.28, -0.84, 1.73, -1.42, 175.45, 174.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315702784, [2.0, 0.57, 0.0, 0.5, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [-2.28, -1.83, 1.83, -1.82, 175.45, 174.93, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(315802344, [2.0, 0.56, 0.0, 0.5, 0.0, 3.6, 0.0, 2.54, 0.0, 0.0], [-2.28, -2.91, 1.83, -2.28, 175.45, 175.28, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(315902433, [2.0, 0.55, 0.0, 0.51, 0.0, 3.6, 0.0, 2.54, 0.0, 0.0], [-2.18, -3.15, 2.0, -2.27, 175.45, 175.87, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(316002446, [2.0, 0.52, 0.0, 0.52, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.09, -3.19, 2.1, -1.62, 175.45, 176.55, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(316102423, [2.0, 0.51, 0.0, 0.53, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-1.98, -3.19, 2.25, -0.97, 175.45, 177.25, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(316202863, [2.0, 0.47, 0.0, 0.55, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [-1.85, -2.83, 2.38, -0.8, 175.45, 177.86, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(316302216, [2.0, 0.45, 0.0, 0.56, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [-1.71, -2.29, 2.57, -0.48, 175.45, 178.11, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
