(60283725, [2.0, 0.19, 0.0, 0.19, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.06, 0.01, -0.3, -3.17, 53.9, 47.74, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(60383739, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.08, 0.25, -0.3, -3.34, 53.9, 46.06, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(60483932, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.09, 0.03, -0.3, -2.67, 53.9, 45.6, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(60584125, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.09, -0.63, -0.3, -2.17, 53.9, 45.74, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(60684195, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.09, -1.28, -0.3, -2.06, 53.9, 46.05, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(60783981, [2.0, 0.2, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.09, -1.6, -0.3, -1.86, 53.9, 45.98, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(60884006, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 2.83, 0.0, 0.0], [-2.89, -1.89, -0.3, -1.94, 53.9, 45.75, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(60984085, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 2.85, 0.0, 0.0], [-2.61, -1.73, -0.3, -1.82, 53.9, 45.79, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(61083748, [2.0, 0.18, 0.0, 0.21, 0.0, 3.6, 0.0, 2.85, 0.0, 0.0], [-2.47, -1.72, -0.31, -2.02, 53.9, 45.79, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(61183963, [2.0, 0.18, 0.0, 0.21, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.48, -1.67, -0.31, -1.9, 53.9, 45.74, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(61284256, [2.0, 0.2, 0.0, 0.21, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.79, -1.73, -0.31, -1.91, 53.9, 45.79, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
