(16749277, [2.0, 0.51, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.14, 0.06, 1.58, 0.67, 0.82, 0.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16849126, [2.0, 0.5, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.17, 0.06, 1.61, 0.67, 0.82, 0.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16949350, [2.0, 0.46, 0.0, 0.26, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.16, 0.06, 1.69, 0.67, 0.82, 0.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17049842, [2.0, 0.42, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.12, 0.06, 1.79, 0.66, 0.82, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17149586, [2.0, 0.4, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.09, 0.06, 1.91, 0.65, 0.82, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17249611, [2.0, 0.37, 0.0, 0.26, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.04, 0.07, 2.01, 0.65, 0.82, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17349471, [2.0, 0.37, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.02, 0.07, 2.1, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17449420, [2.0, 0.35, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.0, 0.07, 2.16, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17549865, [2.0, 0.33, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.97, 0.07, 2.22, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17649363, [2.0, 0.29, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.94, 0.07, 2.31, 0.64, 0.82, 0.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
