(45496231, [2.0, 0.54, 0.0, 0.92, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-15.13, -11.23, -0.16, -0.96, 96.13, 97.07, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(45596250, [2.0, 0.54, 0.0, 0.98, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-15.31, -11.59, -0.18, -0.69, 96.13, 97.38, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(45696898, [2.0, 0.55, 0.0, 1.07, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-15.41, -11.92, -0.21, -1.07, 96.13, 97.62, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(45796955, [2.0, 0.56, 0.0, 1.12, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-15.45, -12.48, -0.25, -0.69, 96.13, 97.78, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(45896292, [2.0, 0.57, 0.0, 1.24, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-15.47, -12.55, -0.28, -0.71, 96.13, 97.9, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(45996392, [2.0, 0.59, 0.0, 1.38, 0.0, 0.56, 0.0, 3.6, 0.0, 0.0], [-15.48, -12.63, -0.09, -0.55, 96.13, 98.15, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(46096339, [2.0, 0.6, 0.0, 1.45, 0.0, 0.55, 0.0, 3.6, 0.0, 0.0], [-15.49, -13.04, 0.08, -0.68, 96.13, 98.22, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(46196264, [2.0, 0.62, 0.0, 1.61, 0.0, 0.54, 0.0, 3.6, 0.0, 0.0], [-15.49, -13.02, 0.14, -0.67, 96.13, 98.08, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(46296264, [2.0, 0.63, 0.0, 1.71, 0.0, 0.53, 0.0, 0.69, 0.0, 0.0], [-10.81, -11.6, 0.16, -0.62, 96.13, 97.79, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(46396316, [2.0, 0.68, 0.0, 1.88, 0.0, 0.52, 0.0, 0.78, 0.0, 0.0], [-5.97, -5.77, 0.15, -1.74, 96.13, 97.41, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(46496273, [2.0, 0.68, 0.0, 1.97, 0.0, 0.52, 0.0, 1.14, 0.0, 0.0], [-4.52, -4.99, 0.12, -2.53, 96.13, 96.8, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(46596355, [2.0, 1.92, 0.0, 2.07, 0.0, 0.51, 0.0, 1.14, 0.0, 0.0], [-3.85, -5.98, 0.11, -2.34, 96.13, 96.34, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(46696319, [2.0, 1.91, 0.0, 2.26, 0.0, 0.5, 0.0, 0.84, 0.0, 0.0], [-3.24, -4.57, 0.06, -1.71, 96.13, 96.03, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
