(22504223, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.65, 0.0, 0.0], [0.0, -0.04, 0.0, -0.61, 359.84, 359.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22611176, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [0.0, -0.04, 0.0, -0.62, 359.84, 359.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22711262, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [0.0, -0.03, 0.0, -0.59, 359.84, 359.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22814682, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.56, 0.0, 0.0], [0.0, -0.01, 0.0, -0.63, 359.84, 359.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22914173, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.58, 0.0, 0.0], [0.0, -0.04, 0.0, -1.29, 359.84, 0.07, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(23026136, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [-2.0, -1.87, 0.95, -2.55, 359.84, 0.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(23127429, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [-3.28, -4.2, 1.47, -3.48, 359.84, 1.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(23240751, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.52, 0.0, 0.0], [-3.78, -4.36, 1.73, -3.64, 359.84, 2.42, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(23361376, [2.0, 0.52, 0.0, 0.42, 0.0, 3.59, 0.0, 2.52, 0.0, 0.0], [-4.09, -4.46, 1.82, -3.38, 359.84, 3.11, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(23484081, [2.0, 0.49, 0.0, 0.43, 0.0, 3.59, 0.0, 2.52, 0.0, 0.0], [-4.23, -4.31, 1.87, -3.29, 359.84, 3.46, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(23611766, [2.0, 0.45, 0.0, 0.45, 0.0, 3.59, 0.0, 2.52, 0.0, 0.0], [-4.24, -4.74, 1.91, -2.06, 359.84, 3.39, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(23720063, [2.0, 0.4, 0.0, 0.47, 0.0, 3.59, 0.0, 2.52, 0.0, 0.0], [-4.18, -5.76, 1.95, -1.05, 359.84, 3.29, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(23818557, [2.0, 0.33, 0.0, 0.51, 0.0, 3.59, 0.0, 3.27, 0.0, 0.0], [-4.92, -7.32, 1.85, -0.86, 359.84, 4.05, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(23943136, [2.0, 0.28, 0.0, 0.55, 0.0, 3.59, 0.0, 3.5, 0.0, 0.0], [-5.18, -12.0, 1.91, -8.11, 359.84, 5.9, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(24063949, [2.0, 0.23, 0.0, 0.58, 0.0, 3.59, 0.0, 3.57, 0.0, 0.0], [-5.08, -14.11, 2.02, -11.2, 359.84, 4.61, 0.08, 1.0], [0.23, 25.0, 0.0, 0.0])
(24167606, [2.0, 0.23, 0.0, 0.58, 0.0, 3.59, 0.0, 3.59, 0.0, 0.0], [-4.91, -17.7, 2.24, -16.05, 359.84, 4.98, 0.08, 1.0], [0.27, 25.0, 0.0, 0.0])
(24289440, [2.0, 0.22, 0.0, 0.6, 0.0, 3.59, 0.0, 3.59, 0.0, 0.0], [-4.74, -22.44, 2.32, -23.43, 359.84, 2.73, 0.1, 1.0], [0.2, 25.0, 0.0, 0.0])
(24416529, [2.0, 0.19, 0.0, 0.64, 0.0, 3.59, 0.0, 3.59, 0.0, 0.0], [-4.59, -21.81, 2.36, -40.09, 359.84, 3.85, 0.15, 1.0], [0.33, 25.0, 0.0, 0.0])
(24532314, [2.0, 0.14, 0.0, 0.71, 0.0, 3.59, 0.0, 3.59, 0.0, 0.0], [-4.39, 5.08, 2.43, -72.21, 359.84, 0.62, 0.15, 1.0], [0.2, 25.0, 0.0, 0.0])
(24643703, [2.0, 0.14, 0.0, 0.74, 0.0, 3.59, 0.0, 3.59, 0.0, 0.0], [-4.23, 19.72, 2.43, -75.12, 359.84, 331.72, 0.14, 1.0], [0.2, 25.0, 0.0, 0.0])
(24746721, [2.0, 0.14, 0.0, 0.74, 0.0, 3.59, 0.0, 3.59, 0.0, 0.0], [-4.14, -22.92, 2.52, -82.03, 359.84, 25.74, 0.14, 1.0], [0.2, 25.0, 0.0, 0.0])
(24853086, [2.0, 0.06, 0.0, 0.83, 0.0, 3.59, 0.0, 3.59, 0.0, 0.0], [-4.0, -4.73, 2.38, -77.94, 359.84, 358.65, 0.16, 1.0], [0.2, 25.0, 0.0, 0.0])
(24957902, [2.0, 0.04, 0.0, 0.37, 0.0, 3.59, 0.0, 1.13, 0.0, 0.0], [-2.29, -4.8, 2.18, -78.35, 359.84, 359.71, 0.16, 1.0], [0.2, 25.0, 0.0, 0.0])
(25073421, [2.0, 0.03, 0.0, 0.27, 0.0, 3.59, 0.0, 1.13, 0.0, 0.0], [-2.35, -3.8, 2.1, -78.16, 359.84, 0.0, 0.15, 1.0], [0.88, 25.0, 0.0, 0.0])
