(33913606, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.29, -0.17, -0.59, 0.27, 144.9, 146.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34013868, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.17, -0.59, 0.27, 144.9, 146.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34113438, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.17, -0.59, 0.27, 144.9, 146.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34215289, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.16, -0.59, 0.27, 144.9, 147.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34315329, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.16, -0.59, 0.26, 144.9, 147.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34421191, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.16, -0.58, 0.26, 144.9, 147.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34519815, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.3, -0.15, -0.59, 0.26, 144.9, 147.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34619556, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.3, -0.15, -0.59, 0.26, 144.9, 147.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34723104, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.15, -0.59, 0.25, 144.9, 147.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34822084, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.14, -0.59, 0.25, 144.9, 148.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34922306, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.14, -0.59, 0.24, 144.9, 148.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35022490, [2.0, 0.62, 0.0, 0.89, 0.0, 0.62, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.14, -0.47, 0.24, 144.9, 148.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35122250, [2.0, 0.62, 0.0, 0.88, 0.0, 0.62, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.14, 0.06, 0.24, 144.9, 148.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35222533, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.13, 0.21, 0.24, 144.9, 148.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35322545, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.31, -0.13, -0.19, 0.23, 144.9, 148.76, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35431052, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.13, -0.4, 0.23, 144.9, 148.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35537808, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.13, -0.5, 0.23, 144.9, 149.07, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35638805, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.13, -0.55, 0.22, 144.9, 149.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35739091, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.32, -0.13, -0.57, 0.22, 144.9, 149.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35840619, [2.0, 0.61, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.32, -0.12, -0.57, 0.21, 144.9, 149.51, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35942950, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.12, -0.58, 0.2, 144.9, 149.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36053034, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [-3.32, -0.12, -0.59, 0.2, 144.9, 149.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36158922, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.12, -0.59, 0.2, 144.9, 149.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36259079, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.12, -0.59, 0.2, 144.9, 150.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36359699, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.31, -0.11, -0.59, 0.19, 144.9, 150.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
