(317795456, [2.0, 0.58, 0.0, 1.21, 0.0, 2.31, 0.0, 0.89, 0.0, 0.0], [1.12, -0.68, 2.67, 1.32, 93.17, 84.09, 0.02, 1.0], [0.37, 25.0, 0.0, 0.0])
(317894932, [2.0, 0.57, 0.0, 1.2, 0.0, 2.32, 0.0, 0.87, 0.0, 0.0], [1.31, -0.73, 2.7, 1.12, 93.17, 81.15, 0.02, 1.0], [0.4, 25.0, 0.0, 0.0])
(317994877, [2.0, 0.55, 0.0, 1.17, 0.0, 2.35, 0.0, 0.85, 0.0, 0.0], [1.44, -0.85, 2.71, 0.6, 93.17, 79.22, 0.03, 1.0], [0.44, 25.0, 0.0, 0.0])
(318095306, [2.0, 0.53, 0.0, 1.17, 0.0, 2.41, 0.0, 0.81, 0.0, 0.0], [1.54, -2.97, 2.73, 0.3, 93.17, 77.98, 0.03, 1.0], [0.47, 25.0, 0.0, 0.0])
(318194816, [2.0, 0.53, 0.0, 1.18, 0.0, 2.41, 0.0, 0.8, 0.0, 0.0], [1.71, -6.5, 2.72, -0.24, 93.17, 73.5, 0.04, 1.0], [0.49, 25.0, 0.0, 0.0])
(318295147, [2.0, 0.56, 0.0, 1.18, 0.0, 3.6, 0.0, 0.86, 0.0, 0.0], [1.76, -7.17, 2.72, 0.26, 93.01, 66.23, 0.04, 1.0], [0.52, 25.0, 0.0, 0.0])
(318394907, [2.0, 0.6, 0.0, 1.19, 0.0, 3.6, 0.0, 0.9, 0.0, 0.0], [1.4, -5.36, 2.84, 1.99, 87.16, 60.32, 0.07, 1.0], [0.54, 25.0, 0.0, 0.0])
(318495003, [2.0, 0.66, 0.0, 1.2, 0.0, 3.6, 0.0, 1.0, 0.0, 0.0], [1.08, -3.06, 2.82, 2.36, 83.44, 56.69, 0.07, 1.0], [0.57, 25.0, 0.0, 0.0])
(318594780, [2.0, 0.65, 0.0, 1.22, 0.0, 3.6, 0.0, 1.0, 0.0, 0.0], [0.68, -2.91, 2.77, 2.62, 81.53, 54.79, 0.07, 1.0], [0.58, 25.0, 0.0, 0.0])
(318694993, [2.0, 0.63, 0.0, 1.28, 0.0, 3.6, 0.0, 2.0, 0.0, 0.0], [0.42, -2.54, 2.74, 1.79, 81.11, 54.46, 0.07, 1.0], [0.61, 25.0, 0.0, 0.0])
(318794716, [2.0, 0.62, 0.0, 1.33, 0.0, 3.6, 0.0, 1.99, 0.0, 0.0], [-0.48, -3.16, 2.74, 1.1, 81.11, 55.07, 0.06, 1.0], [0.62, 25.0, 0.0, 0.0])
(318895178, [2.0, 0.61, 0.0, 1.44, 0.0, 3.6, 0.0, 1.91, 0.0, 0.0], [-0.83, -4.19, 2.76, 0.59, 81.11, 55.36, 0.06, 1.0], [0.65, 25.0, 0.0, 0.0])
(318994736, [2.0, 0.6, 0.0, 1.55, 0.0, 3.6, 0.0, 1.86, 0.0, 0.0], [-0.87, -4.83, 2.76, -0.54, 80.09, 53.43, 0.06, 1.0], [0.65, 25.0, 0.0, 0.0])
(319095190, [2.0, 0.58, 0.0, 1.62, 0.0, 3.6, 0.0, 1.86, 0.0, 0.0], [-0.85, -5.22, 2.74, -1.0, 76.13, 49.51, 0.06, 1.0], [0.66, 25.0, 0.0, 0.0])
(319195179, [2.0, 0.55, 0.0, 1.64, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-1.82, -5.66, 2.71, 0.06, 70.58, 43.8, 0.06, 1.0], [0.67, 25.0, 0.0, 0.0])
(319295000, [2.0, 0.54, 0.0, 1.57, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.17, -5.62, 2.55, 2.68, 62.91, 35.91, 0.06, 1.0], [0.67, 25.0, 0.0, 0.0])
(319394901, [2.0, 0.54, 0.0, 1.51, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.94, -4.2, 2.3, 2.83, 53.47, 26.36, 0.06, 1.0], [0.68, 25.0, 0.0, 0.0])
(319494728, [2.0, 0.56, 0.0, 1.45, 0.0, 2.55, 0.0, 3.6, 0.0, 0.0], [-4.35, -1.56, 2.12, 2.63, 44.34, 17.35, 0.06, 1.0], [0.68, 25.0, 0.0, 0.0])
(319595133, [2.0, 0.56, 0.0, 1.49, 0.0, 2.55, 0.0, 2.94, 0.0, 0.0], [-4.12, -1.45, 2.15, 3.4, 37.8, 10.87, 0.08, 1.0], [0.69, 25.0, 0.0, 0.0])
(319694800, [2.0, 1.44, 0.0, 1.53, 0.0, 3.6, 0.0, 2.7, 0.0, 0.0], [-3.42, -1.93, 0.14, 3.58, 33.57, 6.59, 0.08, 1.0], [0.69, 25.0, 0.0, 0.0])
(319795152, [2.0, 1.44, 0.0, 1.63, 0.0, 3.6, 0.0, 2.67, 0.0, 0.0], [-2.77, -4.26, -1.23, 0.02, 29.71, 2.86, 0.09, 1.0], [0.7, 25.0, 0.0, 0.0])
(319894954, [2.0, 1.56, 0.0, 1.67, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [-2.16, -6.07, -1.73, -0.74, 24.89, 357.88, 0.09, 1.0], [0.7, 25.0, 0.0, 0.0])
(319995029, [2.0, 1.56, 0.0, 1.73, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [-1.59, -7.22, -2.1, -0.2, 17.41, 350.24, 0.09, 1.0], [0.72, 25.0, 0.0, 0.0])
(320094766, [2.0, 2.22, 0.0, 1.73, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [-1.14, -7.67, -2.83, 0.54, 7.41, 340.09, 0.09, 1.0], [0.7, 25.0, 0.0, 0.0])
(320195025, [2.0, 3.6, 0.0, 1.5, 0.0, 3.6, 0.0, 1.03, 0.0, 0.0], [-1.7, -7.98, -3.35, 1.4, 355.42, 327.77, 0.1, 1.0], [0.7, 25.0, 0.0, 0.0])
(320295122, [2.0, 3.6, 0.0, 1.46, 0.0, 2.02, 0.0, 1.03, 0.0, 0.0], [0.14, -7.05, -4.87, 0.99, 341.35, 313.91, 0.1, 1.0], [0.7, 25.0, 0.0, 0.0])
(320395117, [2.0, 3.6, 0.0, 1.46, 0.0, 2.02, 0.0, 3.6, 0.0, 0.0], [0.81, -4.8, -5.38, 1.03, 326.66, 299.52, 0.12, 1.0], [0.68, 25.0, 0.0, 0.0])
(320495272, [2.0, 2.42, 0.0, 3.6, 0.0, 2.26, 0.0, 3.6, 0.0, 0.0], [0.67, -2.68, -4.73, 3.19, 312.23, 285.06, 0.12, 1.0], [0.67, 25.0, 0.0, 0.0])
(320595217, [2.0, 0.73, 0.0, 3.6, 0.0, 2.3, 0.0, 3.6, 0.0, 0.0], [1.1, 0.1, -4.09, 3.94, 298.21, 271.44, 0.13, 1.0], [0.66, 25.0, 0.0, 0.0])
(320695332, [2.0, 0.73, 0.0, 2.8, 0.0, 2.25, 0.0, 1.49, 0.0, 0.0], [1.61, 2.69, -0.86, 5.2, 286.61, 259.88, 0.13, 1.0], [0.65, 25.0, 0.0, 0.0])
(320795224, [2.0, 3.6, 0.0, 3.6, 0.0, 2.29, 0.0, 1.49, 0.0, 0.0], [2.1, 4.69, 1.08, 6.53, 276.37, 249.82, 0.15, 1.0], [0.64, 25.0, 0.0, 0.0])
(320895178, [2.0, 2.4, 0.0, 3.6, 0.0, 2.36, 0.0, 1.75, 0.0, 0.0], [3.11, 5.6, -1.1, 4.85, 268.77, 242.43, 0.15, 1.0], [0.64, 25.0, 0.0, 0.0])
(320995488, [2.0, 2.51, 0.0, 3.6, 0.0, 2.35, 0.0, 1.75, 0.0, 0.0], [3.49, 5.36, -2.4, 1.67, 264.9, 238.47, 0.17, 1.0], [0.64, 25.0, 0.0, 0.0])
(321094878, [2.0, 2.59, 0.0, 3.6, 0.0, 2.34, 0.0, 1.54, 0.0, 0.0], [3.78, 5.54, -3.19, 0.13, 263.52, 237.06, 0.17, 1.0], [0.65, 25.0, 0.0, 0.0])
(321194908, [2.0, 2.61, 0.0, 3.6, 0.0, 2.33, 0.0, 1.54, 0.0, 0.0], [2.44, 4.75, -2.12, -0.4, 262.88, 236.3, 0.17, 1.0], [0.65, 25.0, 0.0, 0.0])
(321294900, [2.0, 2.61, 0.0, 3.6, 0.0, 2.32, 0.0, 3.6, 0.0, 0.0], [1.21, 3.97, -1.04, 0.87, 262.68, 236.21, 0.17, 1.0], [4.64, 25.0, 0.0, 0.0])
(321395138, [2.0, 3.6, 0.0, 3.6, 0.0, 2.27, 0.0, 3.6, 0.0, 0.0], [0.59, 3.39, -0.51, 0.78, 262.68, 237.48, 0.16, 1.0], [0.66, 25.0, 0.0, 0.0])
(321494736, [2.0, 2.75, 0.0, 3.6, 0.0, 2.24, 0.0, 3.6, 0.0, 0.0], [0.29, 3.01, -0.25, -0.13, 262.68, 240.25, 0.16, 1.0], [0.67, 25.0, 0.0, 0.0])
(321594753, [2.0, 2.75, 0.0, 3.6, 0.0, 2.11, 0.0, 3.6, 0.0, 0.0], [0.14, 3.14, -0.12, -0.89, 262.68, 244.1, 0.15, 1.0], [0.68, 25.0, 0.0, 0.0])
(321694740, [2.0, 2.75, 0.0, 3.6, 0.0, 2.04, 0.0, 1.32, 0.0, 0.0], [0.07, 2.97, -0.06, -1.56, 262.68, 248.65, 0.15, 1.0], [0.66, 25.0, 0.0, 0.0])
(321795106, [2.0, 2.76, 0.0, 3.6, 0.0, 1.91, 0.0, 1.26, 0.0, 0.0], [0.03, 2.57, -0.03, -1.94, 262.68, 253.69, 0.14, 1.0], [0.65, 25.0, 0.0, 0.0])
(321894784, [2.0, 2.76, 0.0, 3.6, 0.0, 1.86, 0.0, 1.25, 0.0, 0.0], [0.01, 2.75, -0.01, -2.13, 262.68, 258.72, 0.14, 1.0], [0.61, 25.0, 0.0, 0.0])
(321994733, [2.0, 2.73, 0.0, 3.6, 0.0, 1.78, 0.0, 1.28, 0.0, 0.0], [0.0, 2.95, 0.0, -2.67, 262.68, 263.34, 0.13, 1.0], [0.57, 25.0, 0.0, 0.0])
(322094979, [2.0, 2.73, 0.0, 3.6, 0.0, 1.73, 0.0, 1.33, 0.0, 0.0], [0.0, 2.56, 0.0, -3.21, 262.68, 267.39, 0.13, 1.0], [0.52, 25.0, 0.0, 0.0])
(322194786, [2.0, 2.71, 0.0, 3.6, 0.0, 1.71, 0.0, 1.37, 0.0, 0.0], [0.0, 2.06, 0.0, -3.57, 262.68, 270.79, 0.13, 1.0], [0.46, 25.0, 0.0, 0.0])
(322294997, [2.0, 2.72, 0.0, 3.6, 0.0, 1.65, 0.0, 1.47, 0.0, 0.0], [0.0, 1.71, 0.0, -2.96, 262.68, 273.22, 0.13, 1.0], [0.4, 25.0, 0.0, 0.0])
(322394847, [2.0, 2.72, 0.0, 3.6, 0.0, 1.64, 0.0, 1.52, 0.0, 0.0], [0.0, 1.35, 0.0, -2.27, 262.68, 274.57, 0.12, 1.0], [0.34, 25.0, 0.0, 0.0])
